contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Expiration Date
AAPL231027C00152500,2023-10-24 15:57:30+00:00,152.5,21.0,20.95,21.1,2.2999992,12.299461,14.0,57,0.6093789062500001,True,REGULAR,USD,2023-10-27
AAPL231027C00155000,2023-10-24 19:19:05+00:00,155.0,18.65,18.45,18.6,0.25,1.3586957,44.0,384,0.5429733203125001,True,REGULAR,USD,2023-10-27
AAPL231027C00157500,2023-10-24 19:25:10+00:00,157.5,16.19,15.95,16.1,0.49000072,3.121024,70.0,102,0.534184345703125,True,REGULAR,USD,2023-10-27
AAPL231027C00160000,2023-10-24 19:25:36+00:00,160.0,13.6,13.5,13.6,0.49000072,3.7376106,284.0,659,0.46191944335937507,True,REGULAR,USD,2023-10-27
AAPL231027C00162500,2023-10-24 19:57:58+00:00,162.5,11.15,11.0,11.15,0.4499998,4.205606,404.0,301,0.41309180664062495,True,REGULAR,USD,2023-10-27
AAPL231027C00165000,2023-10-24 19:56:25+00:00,165.0,8.78,8.55,8.7,0.34000015,4.028438,1316.0,2029,0.3544986425781249,True,REGULAR,USD,2023-10-27
AAPL231027C00167500,2023-10-24 19:54:40+00:00,167.5,6.25,6.2,6.35,0.23999977,3.9933405,527.0,456,0.31250687499999996,True,REGULAR,USD,2023-10-27
AAPL231027C00170000,2023-10-24 19:58:26+00:00,170.0,4.25,4.05,4.15,0.29999995,7.5949354,4738.0,7112,0.2749095947265625,True,REGULAR,USD,2023-10-27
AAPL231027C00172500,2023-10-24 19:59:58+00:00,172.5,2.3,2.27,2.31,-0.03999996,-1.7094002,35812.0,9990,0.24927508544921873,True,REGULAR,USD,2023-10-27
AAPL231027C00175000,2023-10-24 19:59:59+00:00,175.0,1.0,0.96,1.0,-0.059999943,-5.6603723,57081.0,26723,0.22876747802734376,False,REGULAR,USD,2023-10-27
AAPL231027C00177500,2023-10-24 19:59:57+00:00,177.5,0.31,0.29,0.32,-0.06999999,-18.421051,22743.0,26689,0.21680470703125,False,REGULAR,USD,2023-10-27
AAPL231027C00180000,2023-10-24 19:59:58+00:00,180.0,0.07,0.07,0.08,-0.049999997,-41.666664,23061.0,39871,0.213875048828125,False,REGULAR,USD,2023-10-27
AAPL231027C00182500,2023-10-24 19:56:49+00:00,182.5,0.03,0.02,0.03,-0.020000001,-40.000004,3308.0,10613,0.23438265625,False,REGULAR,USD,2023-10-27
AAPL231027C00185000,2023-10-24 19:54:41+00:00,185.0,0.01,0.01,0.02,-0.01,-50.0,3983.0,19372,0.2695385546875,False,REGULAR,USD,2023-10-27
AAPL231027C00187500,2023-10-24 19:44:09+00:00,187.5,0.01,0.0,0.01,-0.01,-50.0,2120.0,5643,0.29688203124999996,False,REGULAR,USD,2023-10-27
AAPL231027C00190000,2023-10-24 19:53:38+00:00,190.0,0.01,0.0,0.01,0.0,0.0,109.0,11919,0.335944140625,False,REGULAR,USD,2023-10-27
AAPL231027C00192500,2023-10-24 17:20:34+00:00,192.5,0.01,0.0,0.01,0.0,0.0,40.0,6296,0.38281867187499996,False,REGULAR,USD,2023-10-27
AAPL231027C00195000,2023-10-24 13:43:07+00:00,195.0,0.01,0.0,0.01,0.0,0.0,12.0,6484,0.42188078125,False,REGULAR,USD,2023-10-27
AAPL231027C00197500,2023-10-20 19:45:36+00:00,197.5,0.01,0.0,0.01,0.0,0.0,35.0,4944,0.46094289062500005,False,REGULAR,USD,2023-10-27
AAPL231027C00200000,2023-10-24 19:49:47+00:00,200.0,0.01,0.0,0.01,0.0,0.0,9.0,8024,0.500005,False,REGULAR,USD,2023-10-27
AAPL231027C00202500,2023-10-24 13:30:01+00:00,202.5,0.01,0.0,0.01,0.0,0.0,2.0,152,0.500005,False,REGULAR,USD,2023-10-27
AAPL231027C00205000,2023-10-23 14:26:24+00:00,205.0,0.01,0.0,0.01,0.0,0.0,1.0,2047,0.5468795312500001,False,REGULAR,USD,2023-10-27
AAPL231027C00207500,2023-10-16 19:07:01+00:00,207.5,0.01,0.0,0.01,0.0,0.0,24.0,72,0.57812921875,False,REGULAR,USD,2023-10-27
AAPL231027C00210000,2023-10-16 13:33:55+00:00,210.0,0.01,0.0,0.01,0.0,0.0,81.0,569,0.6093789062500001,False,REGULAR,USD,2023-10-27
AAPL231027C00215000,2023-10-23 13:30:07+00:00,215.0,0.01,0.0,0.01,0.0,0.0,2.0,527,0.6875031250000001,False,REGULAR,USD,2023-10-27
AAPL231027C00220000,2023-10-13 19:30:05+00:00,220.0,0.01,0.0,0.01,0.0,0.0,50.0,148,0.7500025,False,REGULAR,USD,2023-10-27
AAPL231027C00225000,2023-09-29 16:22:40+00:00,225.0,0.01,0.0,0.01,0.0,0.0,10.0,411,0.8125018749999999,False,REGULAR,USD,2023-10-27
AAPL231027C00230000,2023-09-29 13:38:49+00:00,230.0,0.01,0.0,0.01,0.0,0.0,1.0,277,0.87500125,False,REGULAR,USD,2023-10-27
AAPL231027C00235000,2023-09-28 15:36:46+00:00,235.0,0.02,0.0,0.01,0.0,0.0,59.0,89,0.937500625,False,REGULAR,USD,2023-10-27
AAPL231027C00240000,2023-09-28 15:56:05+00:00,240.0,0.01,0.0,0.01,0.0,0.0,54.0,831,0.98437515625,False,REGULAR,USD,2023-10-27
AAPL231027C00245000,2023-09-29 13:38:57+00:00,245.0,0.01,0.0,0.01,0.0,0.0,1.0,56,1.0625046875000002,False,REGULAR,USD,2023-10-27
AAPL231027C00250000,2023-09-18 19:26:55+00:00,250.0,0.02,0.0,0.01,0.0,0.0,3.0,877,1.09375453125,False,REGULAR,USD,2023-10-27
AAPL231027C00255000,2023-09-12 17:33:04+00:00,255.0,0.03,0.0,0.01,0.0,0.0,,1,1.15625421875,False,REGULAR,USD,2023-10-27
AAPL231027C00260000,2023-10-19 13:30:05+00:00,260.0,0.01,0.0,0.0,0.0,0.0,2.0,306,0.500005,False,REGULAR,USD,2023-10-27
AAPL231027C00265000,2023-10-24 17:02:30+00:00,265.0,0.01,0.0,0.01,0.0,0.0,5.0,1100,1.2500037499999999,False,REGULAR,USD,2023-10-27
AAPL231103C00050000,2023-09-29 14:04:08+00:00,50.0,123.1,123.25,123.6,0.0,0.0,2.0,1,3.07031482421875,True,REGULAR,USD,2023-11-03
AAPL231103C00100000,2023-10-03 19:44:45+00:00,100.0,72.67,73.35,73.7,0.0,0.0,,1,1.3281283593749997,True,REGULAR,USD,2023-11-03
AAPL231103C00105000,2023-10-20 16:26:58+00:00,105.0,68.91,68.35,68.8,0.0,0.0,1.0,1,1.2949254003906248,True,REGULAR,USD,2023-11-03
AAPL231103C00110000,2023-10-12 17:06:29+00:00,110.0,71.75,63.45,63.85,0.0,0.0,1.0,4,1.2646521142578124,True,REGULAR,USD,2023-11-03
AAPL231103C00120000,2023-10-16 18:14:08+00:00,120.0,58.58,53.4,53.85,0.0,0.0,,1,1.0293017285156252,True,REGULAR,USD,2023-11-03
AAPL231103C00125000,2023-10-16 18:14:08+00:00,125.0,53.61,48.55,48.75,0.0,0.0,24.0,2,0.94726615234375,True,REGULAR,USD,2023-11-03
AAPL231103C00130000,2023-10-23 18:46:11+00:00,130.0,43.77,43.55,43.75,0.0,0.0,26.0,8,0.8476577734374999,True,REGULAR,USD,2023-11-03
AAPL231103C00135000,2023-10-23 18:46:11+00:00,135.0,38.79,38.6,38.75,0.0,0.0,28.0,33,0.7666038964843751,True,REGULAR,USD,2023-11-03
AAPL231103C00140000,2023-10-23 14:46:31+00:00,140.0,33.03,33.65,33.8,0.7899971,2.4503632,1.0,27,0.694338994140625,True,REGULAR,USD,2023-11-03
AAPL231103C00145000,2023-10-23 14:20:52+00:00,145.0,26.85,28.65,28.8,0.0,0.0,4.0,110,0.5986368261718751,True,REGULAR,USD,2023-11-03
AAPL231103C00150000,2023-10-24 18:44:16+00:00,150.0,23.8,23.75,23.9,0.13999939,0.5917134,99.0,96,0.5366257275390626,True,REGULAR,USD,2023-11-03
AAPL231103C00152500,2023-10-24 16:21:40+00:00,152.5,20.21,21.3,21.45,-1.4100018,-6.521747,26.0,2,0.5009815527343751,True,REGULAR,USD,2023-11-03
AAPL231103C00155000,2023-10-24 19:25:10+00:00,155.0,19.14,18.9,19.05,0.61999893,3.347726,6.0,219,0.4907277490234375,True,REGULAR,USD,2023-11-03
AAPL231103C00157500,2023-10-24 19:00:27+00:00,157.5,16.42,16.55,16.7,0.020000458,0.12195402,24.0,27,0.46533737792968755,True,REGULAR,USD,2023-11-03
AAPL231103C00160000,2023-10-24 16:47:28+00:00,160.0,12.8,14.25,14.4,-1.0999994,-7.9136653,41.0,342,0.44116769775390624,True,REGULAR,USD,2023-11-03
AAPL231103C00162500,2023-10-24 19:40:44+00:00,162.5,12.25,12.05,12.2,0.5,4.255319,74.0,75,0.42212491943359376,True,REGULAR,USD,2023-11-03
AAPL231103C00165000,2023-10-24 19:11:03+00:00,165.0,10.0,10.0,10.1,0.19999981,2.0408144,190.0,1050,0.40369248657226564,True,REGULAR,USD,2023-11-03
AAPL231103C00167500,2023-10-24 19:41:26+00:00,167.5,8.25,8.05,8.15,0.25,3.125,215.0,431,0.38794557373046873,True,REGULAR,USD,2023-11-03
AAPL231103C00170000,2023-10-24 19:59:30+00:00,170.0,6.42,6.3,6.4,0.26000023,4.2207828,1976.0,5747,0.375982802734375,True,REGULAR,USD,2023-11-03
AAPL231103C00172500,2023-10-24 19:58:24+00:00,172.5,4.86,4.7,4.8,0.11000013,2.3157923,2943.0,4544,0.3601138208007812,True,REGULAR,USD,2023-11-03
AAPL231103C00175000,2023-10-24 19:59:43+00:00,175.0,3.35,3.35,3.45,-0.0400002,-1.1799469,8390.0,14359,0.34680828979492184,False,REGULAR,USD,2023-11-03
AAPL231103C00177500,2023-10-24 19:58:03+00:00,177.5,2.31,2.22,2.26,0.099999905,4.5248823,2313.0,4542,0.32617861328125,False,REGULAR,USD,2023-11-03
AAPL231103C00180000,2023-10-24 19:59:39+00:00,180.0,1.39,1.35,1.39,0.049999952,3.7313397,10320.0,28328,0.3107979077148437,False,REGULAR,USD,2023-11-03
AAPL231103C00182500,2023-10-24 19:59:04+00:00,182.5,0.79,0.77,0.79,0.04000002,5.333336,1924.0,3040,0.2981027221679687,False,REGULAR,USD,2023-11-03
AAPL231103C00185000,2023-10-24 19:59:39+00:00,185.0,0.43,0.41,0.43,-0.00999999,-2.272725,2664.0,21622,0.29053443847656246,False,REGULAR,USD,2023-11-03
AAPL231103C00187500,2023-10-24 19:59:43+00:00,187.5,0.23,0.22,0.24,0.010000005,4.545457,2728.0,1570,0.29053443847656246,False,REGULAR,USD,2023-11-03
AAPL231103C00190000,2023-10-24 19:59:53+00:00,190.0,0.13,0.12,0.13,0.0,0.0,2162.0,19918,0.2910227148437499,False,REGULAR,USD,2023-11-03
AAPL231103C00192500,2023-10-24 19:45:09+00:00,192.5,0.07,0.06,0.08,0.0,0.0,455.0,434,0.299811689453125,False,REGULAR,USD,2023-11-03
AAPL231103C00195000,2023-10-24 19:43:39+00:00,195.0,0.04,0.03,0.05,-0.010000002,-20.000004,255.0,4065,0.3086006640625,False,REGULAR,USD,2023-11-03
AAPL231103C00197500,2023-10-24 19:16:40+00:00,197.5,0.03,0.02,0.04,0.0,0.0,93.0,182,0.32813171874999997,False,REGULAR,USD,2023-11-03
AAPL231103C00200000,2023-10-24 18:25:32+00:00,200.0,0.02,0.01,0.02,-0.01,-33.333336,88.0,5707,0.3242255078124999,False,REGULAR,USD,2023-11-03
AAPL231103C00202500,2023-10-23 18:10:25+00:00,202.5,0.01,0.01,0.02,0.0,0.0,36.0,107,0.35156898437499995,False,REGULAR,USD,2023-11-03
AAPL231103C00205000,2023-10-24 19:26:44+00:00,205.0,0.01,0.01,0.02,-0.01,-50.0,29.0,1256,0.37500625,False,REGULAR,USD,2023-11-03
AAPL231103C00210000,2023-10-20 19:54:33+00:00,210.0,0.02,0.0,0.01,0.0,0.0,573.0,443,0.39063109375,False,REGULAR,USD,2023-11-03
AAPL231103C00215000,2023-10-19 15:34:19+00:00,215.0,0.01,0.0,0.01,0.0,0.0,10.0,285,0.437505625,False,REGULAR,USD,2023-11-03
AAPL231103C00220000,2023-10-18 15:05:18+00:00,220.0,0.01,0.0,0.01,0.0,0.0,1.0,380,0.476567734375,False,REGULAR,USD,2023-11-03
AAPL231103C00225000,2023-10-19 15:22:43+00:00,225.0,0.01,0.0,0.01,0.0,0.0,5.0,42,0.51562984375,False,REGULAR,USD,2023-11-03
AAPL231103C00230000,2023-10-23 13:30:06+00:00,230.0,0.01,0.0,0.01,0.0,0.0,1.0,299,0.5312546875,False,REGULAR,USD,2023-11-03
AAPL231103C00235000,2023-10-02 17:54:58+00:00,235.0,0.02,0.0,0.01,0.0,0.0,2.0,3,0.5625043750000001,False,REGULAR,USD,2023-11-03
AAPL231103C00240000,2023-09-29 18:58:07+00:00,240.0,0.01,0.0,0.01,0.0,0.0,65.0,65,0.5937540625000001,False,REGULAR,USD,2023-11-03
AAPL231103C00260000,2023-09-29 18:35:35+00:00,260.0,0.01,0.0,0.01,0.0,0.0,1.0,1,0.7187528125,False,REGULAR,USD,2023-11-03
AAPL231103C00265000,2023-10-17 16:58:19+00:00,265.0,0.01,0.0,0.0,0.0,0.0,,1,0.500005,False,REGULAR,USD,2023-11-03
AAPL231110C00050000,2023-10-20 19:44:57+00:00,50.0,123.31,123.25,123.8,0.0,0.0,10.0,10,2.2265669335937495,True,REGULAR,USD,2023-11-10
AAPL231110C00060000,2023-10-16 18:51:53+00:00,60.0,118.5,113.25,113.85,0.0,0.0,,1,1.96875015625,True,REGULAR,USD,2023-11-10
AAPL231110C00090000,2023-10-19 16:00:45+00:00,90.0,86.95,83.35,83.9,0.0,0.0,,1,1.3476595117187498,True,REGULAR,USD,2023-11-10
AAPL231110C00100000,2023-10-16 15:35:17+00:00,100.0,79.05,73.4,73.95,0.0,0.0,1.0,5,1.1904337353515624,True,REGULAR,USD,2023-11-10
AAPL231110C00105000,2023-10-09 15:46:38+00:00,105.0,72.45,68.4,68.95,0.0,0.0,3.0,3,1.0957076464843751,True,REGULAR,USD,2023-11-10
AAPL231110C00115000,2023-10-13 18:35:44+00:00,115.0,64.8,58.6,58.8,0.0,0.0,3.0,34,0.9335944140625,True,REGULAR,USD,2023-11-10
AAPL231110C00120000,2023-10-16 14:21:32+00:00,120.0,58.55,53.65,53.8,0.0,0.0,2.0,13,0.86132951171875,True,REGULAR,USD,2023-11-10
AAPL231110C00125000,2023-10-16 14:33:09+00:00,125.0,54.2,48.65,48.85,0.0,0.0,3.0,37,0.790041162109375,True,REGULAR,USD,2023-11-10
AAPL231110C00130000,2023-10-11 19:54:50+00:00,130.0,50.2,43.7,43.9,0.0,0.0,3.0,13,0.727541787109375,True,REGULAR,USD,2023-11-10
AAPL231110C00135000,2023-10-24 19:09:58+00:00,135.0,38.62,38.7,38.9,0.020000458,0.05181466,1.0,269,0.64648791015625,True,REGULAR,USD,2023-11-10
AAPL231110C00140000,2023-10-24 19:43:32+00:00,140.0,34.07,33.8,33.95,0.16999817,0.5014695,2.0,681,0.5893595751953126,True,REGULAR,USD,2023-11-10
AAPL231110C00145000,2023-10-24 17:50:12+00:00,145.0,27.56,28.85,29.05,-1.1900005,-4.1391325,2.0,169,0.5275926147460939,True,REGULAR,USD,2023-11-10
AAPL231110C00150000,2023-10-24 19:42:19+00:00,150.0,24.25,24.0,24.15,0.3899994,1.6345322,1.0,219,0.48438015625,True,REGULAR,USD,2023-11-10
AAPL231110C00155000,2023-10-23 17:55:11+00:00,155.0,19.25,19.25,19.4,-0.52000046,-2.6302502,2.0,512,0.43555251953125,True,REGULAR,USD,2023-11-10
AAPL231110C00160000,2023-10-24 19:54:03+00:00,160.0,14.78,14.7,14.85,-0.27000046,-1.7940229,3.0,2016,0.39441523559570313,True,REGULAR,USD,2023-11-10
AAPL231110C00165000,2023-10-24 19:36:43+00:00,165.0,10.7,10.55,10.65,0.19999981,1.9047601,98.0,1806,0.36133451171875,True,REGULAR,USD,2023-11-10
AAPL231110C00170000,2023-10-24 19:54:03+00:00,170.0,6.95,6.9,7.0,0.099999905,1.4598526,277.0,3704,0.3350896569824219,True,REGULAR,USD,2023-11-10
AAPL231110C00175000,2023-10-24 19:56:18+00:00,175.0,4.1,3.95,4.05,0.19999981,5.1282,1559.0,3417,0.3103096313476562,False,REGULAR,USD,2023-11-10
AAPL231110C00180000,2023-10-24 19:59:32+00:00,180.0,1.91,1.84,1.89,0.029999971,1.5957432,1252.0,5880,0.28211167114257807,False,REGULAR,USD,2023-11-10
AAPL231110C00185000,2023-10-24 19:59:34+00:00,185.0,0.71,0.68,0.72,-0.02000004,-2.7397316,705.0,6436,0.26392337646484376,False,REGULAR,USD,2023-11-10
AAPL231110C00190000,2023-10-24 19:57:27+00:00,190.0,0.24,0.22,0.24,-0.010000005,-4.000002,1278.0,7922,0.2563550927734375,False,REGULAR,USD,2023-11-10
AAPL231110C00195000,2023-10-24 19:42:43+00:00,195.0,0.08,0.07,0.08,-0.020000003,-20.000004,174.0,12942,0.25879647460937505,False,REGULAR,USD,2023-11-10
AAPL231110C00200000,2023-10-24 19:25:50+00:00,200.0,0.04,0.03,0.04,-0.010000002,-20.000004,14.0,2367,0.27735097656249996,False,REGULAR,USD,2023-11-10
AAPL231110C00205000,2023-10-24 18:39:59+00:00,205.0,0.02,0.01,0.02,0.0,0.0,54.0,548,0.2929758203124999,False,REGULAR,USD,2023-11-10
AAPL231110C00210000,2023-10-24 13:45:17+00:00,210.0,0.01,0.0,0.02,-0.02,-66.66667,2.0,245,0.3320379296875,False,REGULAR,USD,2023-11-10
AAPL231110C00215000,2023-10-24 14:20:36+00:00,215.0,0.01,0.0,0.02,0.0,0.0,1.0,58,0.367193828125,False,REGULAR,USD,2023-11-10
AAPL231110C00220000,2023-10-20 13:54:54+00:00,220.0,0.02,0.0,0.02,0.0,0.0,1.0,57,0.398443515625,False,REGULAR,USD,2023-11-10
AAPL231110C00225000,2023-10-09 15:10:13+00:00,225.0,0.03,0.0,0.02,0.0,0.0,1.0,22,0.4335994140625,False,REGULAR,USD,2023-11-10
AAPL231110C00230000,2023-10-09 15:32:09+00:00,230.0,0.01,0.0,0.02,0.0,0.0,1.0,1,0.46484910156250003,False,REGULAR,USD,2023-11-10
AAPL231110C00235000,2023-10-19 14:02:58+00:00,235.0,0.01,0.0,0.0,0.0,0.0,1.0,11,0.2500075,False,REGULAR,USD,2023-11-10
AAPL231110C00250000,2023-10-02 17:50:10+00:00,250.0,0.02,0.0,0.02,0.0,0.0,,5,0.5468795312500001,False,REGULAR,USD,2023-11-10
AAPL231110C00255000,2023-10-20 13:30:15+00:00,255.0,0.01,0.0,0.01,0.0,0.0,1.0,1,0.5468795312500001,False,REGULAR,USD,2023-11-10
AAPL231110C00265000,2023-10-16 15:33:48+00:00,265.0,0.01,0.0,0.01,0.0,0.0,1.0,10,0.5937540625000001,False,REGULAR,USD,2023-11-10
AAPL231117C00050000,2023-10-24 18:37:36+00:00,50.0,123.0,123.25,123.75,-2.4000015,-1.9138768,66.0,48,1.8125009374999999,True,REGULAR,USD,2023-11-17
AAPL231117C00055000,2023-10-23 13:39:34+00:00,55.0,117.25,118.25,118.8,1.8499985,1.6031183,1.0,80,1.74609501953125,True,REGULAR,USD,2023-11-17
AAPL231117C00060000,2023-09-22 19:41:04+00:00,60.0,115.9,112.7,113.45,0.0,0.0,1.0,27,1.3125034374999998,True,REGULAR,USD,2023-11-17
AAPL231117C00065000,2023-10-24 14:17:10+00:00,65.0,107.05,108.3,108.8,1.550003,1.4691973,17.0,50,1.5507834960937497,True,REGULAR,USD,2023-11-17
AAPL231117C00070000,2023-10-24 14:15:09+00:00,70.0,102.1,103.3,103.85,-5.1500015,-4.801866,22.0,47,1.478518232421875,True,REGULAR,USD,2023-11-17
AAPL231117C00075000,2023-10-24 14:07:41+00:00,75.0,97.35,98.35,98.85,-1.2300034,-1.247721,13.0,37,1.404299853515625,True,REGULAR,USD,2023-11-17
AAPL231117C00080000,2023-10-24 14:17:10+00:00,80.0,92.25,93.35,93.85,-10.150002,-9.912111,1.0,26,1.3027378613281246,True,REGULAR,USD,2023-11-17
AAPL231117C00085000,2023-09-06 18:03:24+00:00,85.0,98.45,92.15,93.35,0.0,0.0,33.0,42,2.333988540039062,True,REGULAR,USD,2023-11-17
AAPL231117C00090000,2023-10-17 13:36:11+00:00,90.0,86.35,83.5,83.9,0.0,0.0,4.0,85,1.2001993115234375,True,REGULAR,USD,2023-11-17
AAPL231117C00095000,2023-10-20 16:12:22+00:00,95.0,78.75,78.45,78.9,0.0,0.0,10.0,93,1.09375453125,True,REGULAR,USD,2023-11-17
AAPL231117C00100000,2023-10-24 19:13:49+00:00,100.0,73.73,73.4,73.9,-2.7699966,-3.6209106,652.0,788,0.9941406835937501,True,REGULAR,USD,2023-11-17
AAPL231117C00105000,2023-10-23 17:21:48+00:00,105.0,68.58,68.6,68.75,0.0,0.0,2677.0,1647,0.929688203125,True,REGULAR,USD,2023-11-17
AAPL231117C00110000,2023-10-23 19:48:13+00:00,110.0,63.4,63.6,63.8,0.0,0.0,39.0,125,0.866212275390625,True,REGULAR,USD,2023-11-17
AAPL231117C00115000,2023-10-23 19:10:53+00:00,115.0,58.92,58.65,58.8,0.0,0.0,5.0,604,0.8037129003906249,True,REGULAR,USD,2023-11-17
AAPL231117C00120000,2023-10-24 14:47:59+00:00,120.0,53.08,53.7,53.85,-0.61999893,-1.1545604,2.0,606,0.7509790527343749,True,REGULAR,USD,2023-11-17
AAPL231117C00125000,2023-10-20 15:21:03+00:00,125.0,48.55,48.7,48.9,0.0,0.0,1.0,622,0.6875031250000001,True,REGULAR,USD,2023-11-17
AAPL231117C00130000,2023-10-23 19:48:13+00:00,130.0,42.8,43.7,43.9,-0.75,-1.7221584,4.0,1629,0.6171913281250001,True,REGULAR,USD,2023-11-17
AAPL231117C00135000,2023-10-23 19:13:07+00:00,135.0,38.8,38.8,38.95,0.0,0.0,6.0,745,0.5688519677734375,True,REGULAR,USD,2023-11-17
AAPL231117C00140000,2023-10-24 19:11:15+00:00,140.0,34.0,33.85,34.05,0.5999985,1.7964026,11.0,1772,0.5170946728515625,True,REGULAR,USD,2023-11-17
AAPL231117C00145000,2023-10-23 19:35:36+00:00,145.0,28.89,29.0,29.15,0.0,0.0,54.0,234,0.48340360351562506,True,REGULAR,USD,2023-11-17
AAPL231117C00150000,2023-10-24 19:45:49+00:00,150.0,24.45,24.15,24.35,0.6000004,2.515725,36.0,1996,0.43897045410156255,True,REGULAR,USD,2023-11-17
AAPL231117C00155000,2023-10-24 19:45:30+00:00,155.0,19.6,19.45,19.65,0.15999985,0.8230445,21.0,2575,0.39685661743164063,True,REGULAR,USD,2023-11-17
AAPL231117C00160000,2023-10-24 19:48:35+00:00,160.0,15.2,15.05,15.2,0.19999981,1.3333321,48.0,5545,0.36438623901367195,True,REGULAR,USD,2023-11-17
AAPL231117C00165000,2023-10-24 19:56:25+00:00,165.0,11.12,11.0,11.1,0.22000027,2.018351,110.0,6931,0.33704276245117193,True,REGULAR,USD,2023-11-17
AAPL231117C00170000,2023-10-24 19:57:05+00:00,170.0,7.54,7.45,7.55,0.09000015,1.2080557,801.0,27307,0.31604687866210934,True,REGULAR,USD,2023-11-17
AAPL231117C00175000,2023-10-24 19:59:41+00:00,175.0,4.53,4.5,4.55,0.03000021,0.66667134,4417.0,36319,0.2910227148437499,False,REGULAR,USD,2023-11-17
AAPL231117C00180000,2023-10-24 19:58:31+00:00,180.0,2.35,2.29,2.34,0.00999999,0.42735004,12285.0,81482,0.2679516564941406,False,REGULAR,USD,2023-11-17
AAPL231117C00185000,2023-10-24 19:59:56+00:00,185.0,0.99,0.98,1.01,-0.029999971,-2.9411738,8452.0,54922,0.2507399145507812,False,REGULAR,USD,2023-11-17
AAPL231117C00190000,2023-10-24 19:58:15+00:00,190.0,0.39,0.37,0.39,0.0,0.0,4051.0,43650,0.24268335449218748,False,REGULAR,USD,2023-11-17
AAPL231117C00195000,2023-10-24 19:53:40+00:00,195.0,0.15,0.14,0.15,-0.00999999,-6.2499943,1201.0,28058,0.243171630859375,False,REGULAR,USD,2023-11-17
AAPL231117C00200000,2023-10-24 19:57:09+00:00,200.0,0.07,0.06,0.07,-0.009999998,-12.499998,1534.0,29549,0.25391371093750004,False,REGULAR,USD,2023-11-17
